Identifier,Identifier_Status,Announcement_Type,Announcement_Date,Issue,Issue_No,Status,Country,Maturity,Amt,Company,Company_No,Prev_Rating,Prev_Time,Curr_Rating,Curr_Time
1200013,Valid,Update,16-Mar-20,,,,,,,Valvoline Finco Two,70147,,,,
1200017,Valid,Update,16-Mar-20,,,,,,,YORKSHIRE WATER FINANCE,134897,,,,
1200021,Valid,Update,16-Mar-20,,,,,,,YORKSHIRE WATER FINANCE,134897,,,,
1200025,Valid,Update,16-Mar-20,,,,,,,Prudential,23357,,,,
1200029,Valid,Update,16-Mar-20,,,,,,,Centrica,23361,,,,
1200033,Valid,Update,16-Mar-20,,,,,,,Centrica,23361,,,,
1200037,Valid,Update,16-Mar-20,,,,,,,Celgene,23589,,,,
1200041,Valid,Update,16-Mar-20,,,,,,,AES El Salvador Trust II,29433,,,,
1200045,Valid,Update,16-Mar-20,,,,,,,AES El Salvador Trust II,29433,,,,
1200049,Valid,Update,16-Mar-20,,,,,,,RESIDOMO,30099,,,,
1200053,Valid,Others,,,,,,,,,,,,,
1200057,Valid,Update,16-Mar-20,,,,,,,Continental,32333,,,,
1200061,Valid,Update,16-Mar-20,,,,,,,L Brands,33907,,,,
1200065,Valid,Update,16-Mar-20,,,,,,,Banco Nacional de Bolivia,36757,,,,
1200069,Valid,Update,16-Mar-20,,,,,,,Banco Nacional de Bolivia,36757,,,,
1200073,Valid,Update,16-Mar-20,,,,,,,Horsepower Finance,36857,,,,
1200077,Valid,Update,16-Mar-20,,,,,,,Automation Tooling Systems (ATS),50109,,,,
1200081,Valid,Update,16-Mar-20,,,,,,,Chugoku Electric Power,50747,,,,
1200085,Valid,Update,16-Mar-20,,,,,,,Geo Energy Resources,52035,,,,
1200089,Valid,Update,16-Mar-20,,,,,,,HTA Group,82563,,,,
1200093,Valid,Update,16-Mar-20,,,,,,,LPL Holdings,82625,,,,
1200097,Valid,Update,16-Mar-20,,,,,,,Geo Coal International,91021,,,,
1200101,Valid,Update,16-Mar-20,,,,,,,Soechi Capital,96565,,,,
1200105,Valid,Update,16-Mar-20,,,,,,,Soechi Lines,96563,,,,
1200109,Valid,Others,,,,,,,,,,,,,
1200111,Valid,Others,,,,,,,,,,,,,
1200117,Valid,Update,16-Mar-20,,,,,,,RenRe North America,42639,,,,
1200119,Valid,Others,,,,,,,,,,,,,
1200123,Valid,Others,,,,,,,,,,,,,
1200125,Valid,Others,,,,,,,,,,,,,
1200135,Valid,Others,,,,,,,,,,,,,
1200139,Valid,Others,,,,,,,,,,,,,
1200143,Valid,Others,,,,,,,,,,,,,
1200147,Valid,Others,,,,,,,,,,,,,
1200151,Valid,New Issue,16-Mar-20,"Municipality Finance PLC, 0.65% 20mar2023, USD",701063,outstanding,Finland,3/20/2023,"100,000,000 USD",Municipality Finance PLC,45945,,,-/-/-,37:42.6
1200155,Valid,Others,,,,,,,,,,,,,
1200159,Valid,New Issue,16-Mar-20,"Barclays Bank PLC, FRN 25mar2021, EUR",701071,outstanding,United Kingdom,3/25/2021,"200,000,000 EUR",Barclays Bank PLC,51643,,,-/-/-,32:40.5
1200165,Valid,New Issue,16-Mar-20,"Toronto-Dominion Bank, FRN 19mar2021, GBP",701075,outstanding,Canada,3/19/2021,"400,000,000 GBP",Toronto-Dominion Bank,13090,,,Aa1/-/-,36:50.5
1200169,Valid,New Issue,16-Mar-20,"Sichuan Gang Rong Investment and Development Group, 4.6% 20mar2023, USD",701083,outstanding,China,3/20/2023,"300,000,000 USD",Sichuan Gang Rong Investment and Development Group,189451,,,-/-/-,32:44.7
1200179,Valid,Others,,,,,,,,,,,,,
1200183,Valid,Update,16-Mar-20,,,,,,,KDB Asia,189439,,,,
1200187,Valid,Others,,,,,,,,,,,,,
1200189,Valid,Others,,,,,,,,,,,,,
1200191,Valid,Others,,,,,,,,,,,,,
1200201,Valid,Update,17-Mar-20,,,,,,,Hawaiian Holdings,40297,,,,
1200205,Valid,Update,17-Mar-20,,,,,,,Hawaiian Holdings,40297,,,,
1200209,Valid,Update,17-Mar-20,,,,,,,United Airlines Holdings,53721,,,,
1200213,Valid,Update,17-Mar-20,,,,,,,United Airlines Holdings,53721,,,,
