Identifier,ISIN,Name,Issuer,Currency,Frequency,Ins_Type,Last_Trading_Day
US260543BJ10,US260543BJ10,"7,375% Dow Chemical Co., The (2029)","Dow Chemical Co., The",US Dollar,annually,Fixed,1/11/2029
US87425EAK91,US87425EAK91,"6,25% Talisman Energy Inc. (2038)",Talisman Energy Inc.,US Dollar,,Fixed,1/2/2038
XS1980255936,XS1980255936,"6,375% Ägypten, Arabische Republik (2031)","Ägypten, Arabische Republik",Euro,annually,Fixed,11/4/2031
US209111FT54,US209111FT54,"4,65% Cons. Edison Co. New York Inc. (2048)",Cons. Edison Co. New York Inc.,US Dollar,annually,Fixed,1/12/2048
USU3010DAJ91,USU3010DAJ91,7% Expedia Inc. (2025),Expedia Inc.,US Dollar,annually,Fixed,1/5/2025
US37247DAB29,US37247DAB29,"6,5% Genworth Financial Inc. (2034)",Genworth Financial Inc.,US Dollar,,Fixed,15/06/2034
US620076BF55,US620076BF55,4% MOTOROLA INC (2024),MOTOROLA INC,US Dollar,annually,Fixed,1/9/2024
XS1468662801,XS1468662801,"3,5% Adient Global Holdings Ltd. (2024)",Adient Global Holdings Ltd.,Euro,,Fixed,15/08/2024
US45866FAG90,US45866FAG90,"3,45% IntercontinentalExchang.Gr.Inc (2023)",IntercontinentalExchang.Gr.Inc,US Dollar,,Fixed,21/09/2023
US89236TFT79,US89236TFT79,"3,65% Toyota Motor Credit Corp. (2029)",Toyota Motor Credit Corp.,US Dollar,annually,Fixed,8/1/2029
CA892329AW32,CA892329AW32,"1,75% Toyota Credit Canada Inc. (2021)",Toyota Credit Canada Inc.,Kanadischer Dollar,,Fixed,21/07/2021
XS1405768596,XS1405768596,"7,5% Cabot Financial (Lux.) S.A. (2023)",Cabot Financial (Lux.) S.A.,Britische Pfund,,Fixed,1/10/2023
XS1701384494,XS1701384494,"7,9% RZD Capital PLC (2024)",RZD Capital PLC,Russischer Rubel,annually,Fixed,19/10/2024
US097023CE35,US097023CE35,"3,5% Boeing Co. (2039)",Boeing Co.,US Dollar,annually,Fixed,1/3/2039
US023551AM66,US023551AM66,"7,125% Hess Corp. (2033)",Hess Corp.,US Dollar,,Fixed,15/03/2033
XS1835946564,XS1835946564,7% VIVAT N.V.,VIVAT N.V.,Euro,,Fixed,-
US760942AY83,US760942AY83,"4,125% Uruguay, Republik (2045)","Uruguay, Republik",US Dollar,annually,Fixed,20/11/2045
US912828U816,US912828U816,2% Vereinigte Staaten von Amerika (2021),Vereinigte Staaten von Amerika,US Dollar,,Fixed,31/12/2021
XS1963744260,XS1963744260,"0,9% McDonald's Corp. (2026)",McDonald's Corp.,Euro,annually,Fixed,15/06/2026
AT0000A1TBC2,AT0000A1TBC2,"1,875% CA IMMOBILIEN ANLAGEN AG (2024)",CA IMMOBILIEN ANLAGEN AG,Euro,annually,Fixed,22/02/2024
US085790AY96,US085790AY96,"5,125% Berry Global Inc. (2023)",Berry Global Inc.,US Dollar,,Fixed,15/07/2023
XS0922885362,XS0922885362,"2,625% Microsoft Corp. (2033)",Microsoft Corp.,Euro,annually,Fixed,2/5/2033
XS2023631489,XS2023631489,VAR NIBC BANK NV (2025),NIBC BANK NV,Euro,annually,Floating Rate Note,8/7/2025
USG9328DAG54,USG9328DAG54,"8,25% VEDANTA RESOURCES PLC (2021)",VEDANTA RESOURCES PLC,US Dollar,annually,Fixed,7/6/2021
FR0013378452,FR0013378452,"1,75% Atos SE (2025)",Atos SE,Euro,annually,Fixed,7/5/2025
USU8271MAA19,USU8271MAA19,"5,75% Fidelity Bank PLC (2024)",Fidelity Bank PLC,US Dollar,,Fixed,1/11/2024
DE000LB0XZ36,DE000LB0XZ36,"2,25% Landesbank Baden-Württemberg (2020)",Landesbank Baden-Württemberg,US Dollar,,Fixed,13/10/2020
DE000LB06C55,DE000LB06C55,"1,8% Landesbank Baden-Württemberg (2022)",Landesbank Baden-Württemberg,Euro,annually,Fixed,12/1/2022
US713448EL82,US713448EL82,"2,625% PepsiCo Inc. (2029)",PepsiCo Inc.,US Dollar,annually,Fixed,23/07/2029
FR0013234986,FR0013234986,"1,375% Crédit Agricole Home Loan SFH (2032)",Crédit Agricole Home Loan SFH,Euro,,Fixed,3/2/2032
US037833CJ77,US037833CJ77,"3,35% Apple Inc. (2027)",Apple Inc.,US Dollar,annually,Fixed,9/2/2027
US9128285F31,US9128285F31,"2,875% Vereinigte Staaten von Amerika (2021)",Vereinigte Staaten von Amerika,US Dollar,annually,Fixed,15/10/2021
XS1702729275,XS1702729275,"1,25% innogy Finance B.V. (2027)",innogy Finance B.V.,Euro,,Fixed,19/10/2027
XS1405769487,XS1405769487,"0,875% PPG Industries Inc (2025)",PPG Industries Inc,Euro,,Fixed,3/11/2025
IT0005140030,IT0005140030,1% Unione di Banche Italiane SpA UBI (2023),Unione di Banche Italiane SpA UBI,Euro,annually,Fixed,17/01/2023
XS1464940565,XS1464940565,"6,45% Asian Development Bank (2021)",Asian Development Bank,Indische Rupie,,Fixed,8/8/2021
US78355HKM06,US78355HKM06,"2,875% RYDER SYSTEM INC (2022)",RYDER SYSTEM INC,US Dollar,annually,Fixed,1/6/2022
XS2061971615,XS2061971615,VAR European Investment Bank (2022),European Investment Bank,Euro,,Floating Rate Note,10/10/2022
XS1586555861,XS1586555861,"1,125% Volkswagen International Finance (2023)",Volkswagen International Finance,Euro,annually,Fixed,2/10/2023
DE000BLB3WV5,DE000BLB3WV5,VAR Bayerische Landesbank (2021),Bayerische Landesbank,Euro,,Floating Rate Note,10/2/2021
US20030NBJ90,US20030NBJ90,"3,6% COMCAST CORP. (2024)",COMCAST CORP.,US Dollar,annually,Fixed,1/3/2024
DE000LB1DVL8,DE000LB1DVL8,"0,5% Landesbank Baden-Württemberg (2022)",Landesbank Baden-Württemberg,Euro,annually,Fixed,7/6/2022
XS1207683522,XS1207683522,"0,625% Nationwide Building Society (2027)",Nationwide Building Society,Euro,monthly,Fixed,25/03/2027
XS1512676963,XS1512676963,"0,625% Nordic Investment Bank (2021)",Nordic Investment Bank,Britische Pfund,annually,Fixed,1/11/2021
DE000A2GSFF1,DE000A2GSFF1,"2,125% Evonik Industries AG (2077)",Evonik Industries AG,Euro,annually,Fixed,7/7/2077
XS1090019370,XS1090019370,"8,375% European Investment Bank (2022)",European Investment Bank,S&uuml;dafrikanischer Rand,,Fixed,29/07/2022
US46647PAW68,US46647PAW68,"3,226% JP Morgan Chase & Co. (2024)",JP Morgan Chase & Co.,US Dollar,,Fixed,23/07/2024
DE000HLB4EW3,DE000HLB4EW3,1% Landesbank Hessen-Thüringen Girozentrale (2029),Landesbank Hessen-Thüringen Girozentrale,Euro,,Fixed,20/04/2029
US099724AH99,US099724AH99,"4,375% BorgWarner Inc. (2045)",BorgWarner Inc.,US Dollar,,Fixed,15/03/2045
BE6285457519,BE6285457519,"2,75% Anheuser-Busch InBev S.A./N.V. (2036)",Anheuser-Busch InBev S.A./N.V.,Euro,,Fixed,17/03/2036
US29736RAH30,US29736RAH30,"1,7% Estee Lauder Co INC (2021)",Estee Lauder Co INC,US Dollar,,Fixed,10/5/2021
DE000HLB1B02,DE000HLB1B02,"0,41% Landesbank Hessen-Thüringen Girozentrale (2021)",Landesbank Hessen-Thüringen Girozentrale,Euro,annually,Fixed,29/04/2021
XS1996268253,XS1996268253,"0,021% Eaton Capital Unlimited Co. (2021)",Eaton Capital Unlimited Co.,Euro,annually,Fixed,14/05/2021
XS1149938240,XS1149938240,1% Sumitomo Mitsui Banking (2022),Sumitomo Mitsui Banking,Euro,,Fixed,19/01/2022
USP28768AB86,,"8,5% Colombia Telecomm SA Esp",Colombia Telecomm SA Esp,US Dollar,,Fixed,-
XS1387192435,XS1387192435,"0,375% F. van Lanschot Bankiers N.V. (2023)",F. van Lanschot Bankiers N.V.,Euro,,Fixed,31/03/2023
DE000LB06GH9,DE000LB06GH9,"1,6% Landesbank Baden-Württemberg (2024)",Landesbank Baden-Württemberg,Euro,annually,Fixed,12/1/2024
CA110709EJ73,CA110709EJ73,"6,15% British Columbia, Provinz (2027)","British Columbia, Provinz",Kanadischer Dollar,annually,Fixed,19/11/2027
DE000A2GSD76,DE000A2GSD76,"0,05% Niedersachsen, Land (2023)","Niedersachsen, Land",Euro,,Fixed,20/09/2023
DE000A2DASD4,DE000A2DASD4,"0,875% Deutsche Pfandbriefbank AG (2021)",Deutsche Pfandbriefbank AG,Euro,annually,Fixed,29/01/2021
XS1983375871,XS1983375871,4% Europcar Mobility Group (2026),Europcar Mobility Group,Euro,annually,Fixed,30/04/2026
NL0011896857,NL0011896857,"0% Niederlande, Königreich der (2022)","Niederlande, Königreich der",Euro,,Fixed,15/01/2022
DE000A168Y55,DE000A168Y55,"0,375% Kreditanstalt für Wiederaufbau (2026)",Kreditanstalt für Wiederaufbau,Euro,,Fixed,9/3/2026
CH0368306871,CH0368306871,"0,125% Luzern, Kanton (2029)","Luzern, Kanton",Schweizer Franken,,Fixed,20/06/2029
US92343VBR42,US92343VBR42,"5,15% Verizon Communications Inc. (2023)",Verizon Communications Inc.,US Dollar,annually,Fixed,15/09/2023
XS1909057645,XS1909057645,"3,25% Logicor Financing S.à r.l. (2028)",Logicor Financing S.à r.l.,Euro,annually,Fixed,13/11/2028
US912920AC90,,"6,875% US WEST Communications Inc. (2033)",US WEST Communications Inc.,US Dollar,annually,Fixed,15/09/2033
US345397ZG11,US345397ZG11,VAR Ford Motor Credit Co. LLC (2021),Ford Motor Credit Co. LLC,US Dollar,,Floating Rate Note,12/10/2021
AU3TB0000150,AU3TB0000150,"3,25% Australia, Commonwealth of... (2029)","Australia, Commonwealth of...",Australischer Dollar,annually,Fixed,21/04/2029
US883203BX87,US883203BX87,"3,65% Textron Inc. (2027)",Textron Inc.,US Dollar,annually,Fixed,15/03/2027
US86562MAV28,US86562MAV28,"3,352% Sumitomo Mitsui Financ. Group (2027)",Sumitomo Mitsui Financ. Group,US Dollar,,Fixed,18/10/2027
CH0200044813,CH0200044813,4% Aryzta AG,Aryzta AG,Schweizer Franken,annually,Fixed,-
XS1834756063,XS1834756063,"5,875% Fufeng Group Ltd, (2021)","Fufeng Group Ltd,",US Dollar,annually,Fixed,28/08/2021
XS1344895450,XS1344895450,"0,75% SR-Boligkreditt A.S. (2023)",SR-Boligkreditt A.S.,Euro,,Fixed,18/01/2023
XS2027394233,XS2027394233,"7,125% Kondor Finance Plc (2024)",Kondor Finance Plc,Euro,annually,Fixed,19/07/2024
US01609WAW29,US01609WAW29,"4,4% Alibaba Group Holding Ltd. (2057)",Alibaba Group Holding Ltd.,US Dollar,,Fixed,6/12/2057
DE000A11QEY0,DE000A11QEY0,"0,625 % Landesschatzanweisung von 2015/23","Brandenburg, Land",Euro,annually,Fixed,12/5/2023
USN39427FW99,USN39427FW99,"4,35% Heineken N.V. (2047)",Heineken N.V.,US Dollar,,Fixed,29/03/2047
US29736RAG56,US29736RAG56,"4,375% Estee Lauder Co INC (2045)",Estee Lauder Co INC,US Dollar,,Fixed,15/06/2045
US893830BJ77,US893830BJ77,"0,5% TRANSOCEAN INC (2023)",TRANSOCEAN INC,US Dollar,,Fixed,30/01/2023
XS1558078736,XS1558078736,"7,5% Ägypten, Arabische Republik (2027)","Ägypten, Arabische Republik",US Dollar,,Fixed,31/01/2027
CA68323ADM32,CA68323ADM32,"2,4% Ontario, Provinz (2026)","Ontario, Provinz",Kanadischer Dollar,,Fixed,2/6/2026
XS2193734733,XS2193734733,"1,625% DELL BANK INTERNATIONAL DESIGNATED ACTIVITY COMPANY (2024)",DELL BANK INTERNATIONAL DESIGNATED ACTIVITY COMPANY,Euro,annually,Fixed,24/06/2024
XS1413580579,XS1413580579,1% Santander Consumer Finance SA (2021),Santander Consumer Finance SA,Euro,annually,Fixed,26/05/2021
US084664CQ25,US084664CQ25,"4,2% Berkshire Hathaway Inc. (2048)",Berkshire Hathaway Inc.,US Dollar,annually,Fixed,15/08/2048
XS1420338102,XS1420338102,"2,25% Holcim Finance (Luxembourg) S.A. (2028)",Holcim Finance (Luxembourg) S.A.,Euro,,Fixed,26/05/2028
DE000LB06D05,DE000LB06D05,"2,75% Landesbank Baden-Württemberg (2021)",Landesbank Baden-Württemberg,US Dollar,annually,Fixed,12/1/2021
