Unnamed: 0,Identifier,ISIN,Frequency,Seniority,Issuer,Maturity,Currency,Ins_type,Coupon,Spread
0.0,XS1661729423,XS1661729423,Semi Annually,Senior Unsecured,Yinson Juniper Ltd,Perpetual,USD,USD,7.85,Reset Date = 05 Oct 2022 and every 5 years thereafter<br> Reset Rate = Prevailing 5-year UST + Initial Spread (5.924%) + Step Up Margin (500bps in 05 Oct 2022)
1.0,USU84416AD59,USU84416AD59,Semi Annually,Senior Unsecured,Southern Star Central Corp,15-Jul-22,USD,USD,5.125,-
2.0,XS1547355427,XS1547355427,Semi Annually,Senior Unsecured,Taikang Insurance Group Inc,19-Jan-22,USD,USD,3.5,-
3.0,XS0610505660,XS0610505660,Annually,Senior Unsecured,Westpac Banking Corp,31-Mar-31,USD,USD,5.005,-
4.0,XS1347434927,XS1347434927,Semi Annually,Senior Unsecured,Export-Import Bank of India,20-Jul-21,USD,USD,3.125,-
5.0,XS1274011102,XS1274011102,Semi Annually,Senior Unsecured,ICICI Bank Ltd/Dubai,12-Aug-20,USD,USD,3.125,-
6.0,USV4256QAA95,USV4256QAA95,Semi Annually,Secured,HT Global IT Solutions Holdings Ltd,14-Jul-21,USD,USD,7.0,-
7.0,SG6V47983204,SG6V47983204,Semi Annually,Senior Unsecured,Housing &amp; Development Board,27-Jun-24,SGD,SGD,2.505,-
8.0,QJ0474255,SG6ZD5000001,Semi Annually,Senior Unsecured,IVL Singapore Pte Ltd,7-Oct-25,SGD,SGD,3.73,-
9.0,AQ1253527,SG7JH6000003,Semi Annually,Senior Unsecured,Singapore Management University,28-Nov-22,SGD,SGD,1.945,-
10.0,USG9328DAP53,USG9328DAP53,Semi Annually,Senior Unsecured,Vedanta Resources Ltd,9-Aug-24,USD,USD,6.125,-
11.0,XS2025575114,XS2025575114,Semi Annually,Senior Unsecured,Shimao Property Holdings Ltd,15-Jul-26,USD,USD,5.6,-
12.0,MYBMX1300040,MYBMX1300040,Semi Annually,Senior Unsecured,Malaysia Government Bond,15-Apr-33,MYR,MYR,3.844,-
13.0,XS2127887169,XS2127887169,Semi Annually,Senior Unsecured,Hejun Shunze Investment Co Ltd,4-Mar-21,USD,USD,9.0,-
14.0,LW8507649,SG73H5000003,Semi Annually,Senior Unsecured,Frasers Property Treasury Pte Ltd,21-Jul-21,USD,USD,2.5,-
15.0,XS1763164206,XS1763164206,Semi Annually,Senior Unsecured,Korean Air Lines Co Ltd,6-Mar-21,USD,USD,5.875,-
16.0,HK0000411543,HK0000411543,Annually,Senior Unsecured,Hong Kong Mortgage Corp Ltd,12-Apr-21,HKD,HKD,2.31,-
17.0,XS2161924605,XS2161924605,Semi Annually,Senior Unsecured,Wharf REIC Finance (BVI) Limited,7-May-25,USD,USD,2.375,-
18.0,USY2700AAB53,USY2700AAB53,Semi Annually,Senior Unsecured,Geo Coal International Pte Ltd,4-Oct-22,USD,USD,8.0,-
19.0,XS2161921338,XS2161921338,Semi Annually,Senior Unsecured,Wharf REIC Finance (BVI) Limited,7-May-30,USD,USD,2.875,-
20.0,SG6OF4000001,SG6OF4000001,Semi Annually,Senior Unsecured,Housing &amp; Development Board,29-Jan-29,SGD,SGD,3.948,-
21.0,SG6P73971303,SG6P73971303,Semi Annually,Senior Unsecured,Neptune Orient Lines Ltd/Singapore,22-Jun-21,SGD,SGD,4.4,-
22.0,XS1573135099,XS1573135099,Semi Annually,Senior Unsecured,China Cinda Finance 2017 I Ltd,9-Mar-27,USD,USD,4.4,-
23.0,MYBVZ1901900,MYBVZ1901900,Semi Annually,Senior Unsecured,WCT Holdings Bhd,Perpetual,MYR,MYR,5.8,-
24.0,US09681MAM01,US09681MAM01,Semi Annually,Senior Unsecured,BOC Aviation Ltd,29-Apr-25,USD,USD,3.25,-
25.0,HK0000298098,HK0000298098,Quarterly,Senior Unsecured,HKCG Finance Ltd,17-Jun-26,HKD,HKD,2.3,-
26.0,AX5197402,SGXF31093077,Semi Annually,Senior Unsecured,Mapletree Treasury Services Ltd,13-Mar-29,SGD,SGD,3.58,-
27.0,XS1645451565,XS1645451565,Semi Annually,First Lien,Powerlong Real Estate Holdings Ltd,19-Jul-20,USD,USD,5.95,-
28.0,USG01719AA42,USG01719AA42,Semi Annually,Senior Unsecured,Alibaba Group Holding Ltd,28-Nov-21,USD,USD,3.125,-
29.0,MYBUN1500908,MYBUN1500908,Semi Annually,Subordinated,Alliance Bank Malaysia Bhd,27-Oct-25,MYR,MYR,5.75,-
30.0,XS2102302200,XS2102302200,Semi Annually,First Lien,Central China Real Estate Ltd,16-Jul-24,USD,USD,7.25,-
31.0,XS1495978329,XS1495978329,Semi Annually,Senior Unsecured,TVB Finance Ltd,11-Oct-21,USD,USD,3.625,-
32.0,XS2024502960,XS2024502960,Annually,Junior Subordinated,Commerzbank AG,Perpetual,USD,USD,7.0,Reset Date: 09 Apr 2025 and every 5 years thereafter <br> Reset Rate: USD 5Y SWAP Rate + 5.228%
33.0,HK0000296993,HK0000296993,Quarterly,Unsecured,Swire Properties MTN Financing Ltd,3-Jun-26,HKD,HKD,2.65,-
34.0,AS3027990,SG7PB2000007,Semi Annually,Senior Unsecured,Fragrance Group Ltd,26-Apr-21,SGD,SGD,6.125,-
35.0,AO6029091,SG7FD5000001,Semi Annually,Senior Unsecured,Ascendas Real Estate Investment Trust,10-Aug-23,SGD,SGD,2.47,-
36.0,ZQ6789726,SGXF61476887,Semi Annually,Senior Unsecured,Housing &amp; Development Board,25-Nov-24,SGD,SGD,1.75,-
37.0,SGXF76236896,SGXF76236896,Semi Annually,Senior Unsecured,SATS Ltd.,31-Mar-25,SGD,SGD,2.88,-
38.0,XS1208533411,XS1208533411,Semi Annually,Senior Unsecured,Boom Up Investments Ltd,23-Jul-20,USD,USD,3.25,-
39.0,HK0000123205,HK0000123205,Annually,Senior Unsecured,HLP Finance Ltd,7-Sep-22,HKD,HKD,3.7,-
40.0,XS1709294380,XS1709294380,Semi Annually,Subordinated,Franshion Brilliant Ltd,Perpetual,USD,USD,4.875,Reset Date = 06 November 2023 and every 5 years thereafter <br> Reset Rate = Prevailing 5-year UST + initial spread (2.750%) + 25bps (on 06Nov2028) + 75bps (on 06Nov2032)
41.0,XS1349043130,XS1349043130,Annually,Senior Unsecured,Barclays PLC,24-Mar-31,AUD,AUD,6.1,-
42.0,XS2030329358,XS2030329358,Semi Annually,Secured,Fantasia Holdings Group Co Ltd,18-Oct-22,USD,USD,12.25,-
43.0,XS1700429480,XS1700429480,Quarterly,Subordinated,Prudential PLC,Perpetual,USD,USD,4.875,-
44.0,US056752AR92,US056752AR92,Semi Annually,Senior Unsecured,Baidu Inc,7-Apr-30,USD,USD,3.425,-
45.0,XS1234762042,XS1234762042,Annually,Senior Unsecured,Nordea Bank Abp,27-May-25,SGD,SGD,3.26,-
