Identifier,ISIN,Issuer,Currency,Coupon,Maturity,Frequency,Special_Coupon_Type
7_750-000000-Bond-2022-usu03529aa98,USU03529AA98,000000,USD,7.750%,10/1/2022,2.0,suspended payment
1mdb_energydl-notes_201222-Bond-2022-xs0784926270,XS0784926270,1MDB Energy Ltd.,USD,5.990%,5/11/2022,2.0,
361_degrees_internationaldl-notes_201619-21-Bond-2021-xs1415758991,XS1415758991,361 Degrees International Limited,USD,7.250%,6/3/2021,2.0,
3m_codl-med-term_nts_1818-21-Bond-2021-us88579yba82,US88579YBA82,3M Co.,USD,3.000%,9/14/2021,2.0,
3m_codl-medium-term_nts_201717-23-Bond-2023-us88579yax94,US88579YAX94,3M Co.,USD,2.250%,3/15/2023,2.0,
2_000-3m-Bond-2022-us88579yaf88,US88579YAF88,3M Co.,USD,2.000%,6/26/2022,2.0,
3m_codl-medium-term_nts_201515-20-Bond-2020-us88579yaq44,US88579YAQ44,3M Co.,USD,2.000%,8/7/2020,2.0,
3m_codl-med-term_nts_1919-22-Bond-2022-us88579ybf79,US88579YBF79,3M Co.,USD,2.750%,3/1/2022,2.0,
3m_codl-notes_201616-21-Bond-2021-us88579yau55,US88579YAU55,3M Co.,USD,1.625%,9/19/2021,2.0,
4_finance_sa-Bond-2022-xs1597294781,XS1597294781,4 Finance S.A.,USD,10.750%,5/1/2022,2.0,
svensk_exportkredit-_abdl-medium-term_notes_201621-Bond-2021-us00254emj81,US00254EMJ81,AB Svensk Exportkredit,USD,1.750%,3/10/2021,2.0,
svensk_exportkredit-_abdl-medium-term_nts_201820-Bond-2020-us00254ems80,US00254EMS80,AB Svensk Exportkredit,USD,2.750%,10/7/2020,2.0,
svensk_exportkredit-_abdl-medium-term_notes_201520-Bond-2020-us00254eme94,US00254EME94,AB Svensk Exportkredit,USD,1.750%,8/28/2020,2.0,
svensk_exportkredit-_abdl-medium-term_nts_201921-Bond-2021-us00254emu37,US00254EMU37,AB Svensk Exportkredit,USD,2.375%,4/9/2021,2.0,
svensk_exportkredit-_abdl-medium-term_nts_201821-Bond-2021-us00254emr08,US00254EMR08,AB Svensk Exportkredit,USD,2.875%,5/22/2021,2.0,
svensk_exportkredit-_abdl-medium-term_nts_201823-Bond-2023-us00254emq25,US00254EMQ25,AB Svensk Exportkredit,USD,2.875%,3/14/2023,2.0,
svensk_exportkredit-_abdl-medium-term_nts_201821-Bond-2021-us00254emt63,US00254EMT63,AB Svensk Exportkredit,USD,3.125%,11/8/2021,2.0,
svensk_exportkredit-_abdl-medium-term_notes_201722-Bond-2022-us00254emm11,US00254EMM11,AB Svensk Exportkredit,USD,2.375%,3/9/2022,2.0,
svensk_exportkredit-_abdl-medium-term_notes_201520-Bond-2020-us00254emd12,US00254EMD12,AB Svensk Exportkredit,USD,1.875%,6/23/2020,2.0,
svensk_exportkredit-_abdl-medium-term_nts_202022-Bond-2022-xs2101563133,XS2101563133,AB Svensk Exportkredit,USD,1.625%,1/14/2022,2.0,
2_875-abb-finance-usa-Bond-2022-us00037bab80,US00037BAB80,ABB Finance USA Inc.,USD,2.875%,5/8/2022,2.0,
abb_finance_usa_incdl-notes_201818-23-Bond-2023-us00037bae20,US00037BAE20,ABB Finance USA Inc.,USD,3.375%,4/3/2023,2.0,
4_000-abb-treasury-center-usa-Bond-2021-usu00292ab56,USU00292AB56,ABB Treasury Center USA Inc.,USD,4.000%,6/15/2021,2.0,
abcl_glory_capitaldl-notes_201621-Bond-2021-xs1429589705,XS1429589705,ABCL Glory Capital Ltd.,USD,2.500%,6/21/2021,2.0,
abn_amro_bank_nvdl-med-term_nts_201821_144a-Bond-2021-us00084daq34,US00084DAQ34,ABN AMRO Bank N.V.,,2.650%,1/19/2021,2.0,
abn_amro_bank_nvdl-flr_med-t_nts_1821144a-Bond-2021-us00084das99,US00084DAS99,ABN AMRO Bank N.V.,,0.939%,8/27/2021,4.0,variable coupon
abn_amro_bank_nvdl-flr_med-t_nts_1821_144a-Bond-2021-us00084dar17,US00084DAR17,ABN AMRO Bank N.V.,,1.545%,1/19/2021,4.0,variable coupon
abn_amro_bank_nvdl-med-term_nts_201821144a-Bond-2021-us00084dat72,US00084DAT72,ABN AMRO Bank N.V.,,3.400%,8/27/2021,2.0,
6_250-abn-amro-bank-Bond-2022-xs0619547838,XS0619547838,ABN AMRO Bank N.V.,USD,6.250%,4/27/2022,2.0,
abn_amro_bank_nvdl-flr_med-t_nts_1821regs-Bond-2021-xs1743726918,XS1743726918,ABN AMRO Bank N.V.,USD,1.545%,1/19/2021,4.0,variable coupon
abn_amro_bank_nvdl-med-term_nts_201821regs-Bond-2021-xs1743726835,XS1743726835,ABN AMRO Bank N.V.,USD,2.650%,1/19/2021,2.0,
abn_amro_bank_nvdl-flr_med-t_nts_1821regs-Bond-2021-xs1871116338,XS1871116338,ABN AMRO Bank N.V.,USD,0.939%,8/27/2021,4.0,variable coupon
abn_amro_bank_nvdl-med-term_nts_201821regs-Bond-2021-xs1871116171,XS1871116171,ABN AMRO Bank N.V.,USD,3.400%,8/27/2021,2.0,
abq_financedl-med-t_notes_201722-Bond-2022-xs1569829200,XS1569829200,ABQ Finance Ltd.,USD,3.500%,2/22/2022,2.0,
adcb_finance_caymandl-med-term_nts_201323-Bond-2023-xs0897453493,XS0897453493,ADCB Finance [Cayman] Ltd.,USD,4.500%,3/6/2023,2.0,
adcb_finance_caymandl-med-term_nts_201823regs-Bond-2023-xs1800010693,XS1800010693,ADCB Finance [Cayman] Ltd.,USD,4.000%,3/29/2023,2.0,
adt_corpdl-notes_201313-23-Bond-2023-us00101jah95,US00101JAH95,ADT Corp.,USD,4.125%,6/15/2023,2.0,
adt_corpdl-notes_201313-21-Bond-2021-us00101jak25,US00101JAK25,ADT Corp.,USD,6.250%,10/15/2021,2.0,
adt_corpdl-notes_201212-22-Bond-2022-us00101jaf30,US00101JAF30,ADT Corp.,USD,3.500%,7/15/2022,2.0,
aflac_incdl-notes_201313-23-Bond-2023-us001055al64,US001055AL64,AFLAC Inc.,USD,3.625%,6/15/2023,2.0,
aia_groupdl-notes_201323-Bond-2023-hk0000142494,HK0000142494,AIA Group Ltd,USD,3.125%,3/13/2023,2.0,
aig_global_fundingdl-med-term_nts_201621regs-Bond-2021-us00138eac84,US00138EAC84,AIG Global Funding,USD,2.700%,12/15/2021,2.0,
dl-med-term_nts_201621regs-Bond-2021-us00138eab02,US00138EAB02,AIG Global Funding,USD,1.900%,10/6/2021,2.0,
