Identifier,Identifier_Status,Name,ISIN,Bond_Status,Bond_Type,Coupon_Freq,Subordinated,Sinkable,Perpetual,Convertible,Structured,Restructuring,Securitization,Mortgage,Trace,Covered,Foreign,CDO,Sukuk,Retail,Supranational,Green,Non-Marketable,Issuer,Borrower,Amount,Floating,Ref_Rate,Margin,Current_Rate
1,Valid,"Domestic bonds: Aeroflot, 02 (4-02-00010-A, RU0008514856)",RU0008514856,early redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Aeroflot,,"1,000,000,000 RUB",No,,,
2,Valid,"Domestic bonds: Aeroflot, 01 (4-01-00010-A, RU0007200283)",RU0007200283,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Aeroflot,,"600,000,000 RUB",No,,,
3,Invalid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Valid,"Domestic bonds: ALROSA, 01 (4-01-40046-N)",,redeemed,Zero-coupon bonds,,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_ok cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,ALROSA,,"500,000,000 RUB",No,,,
5,Valid,"Domestic bonds: ALROSA, 02 (4-02-40046-N)",,redeemed,Zero-coupon bonds,,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,ALROSA,,"500,000,000 RUB",No,,,
6,Valid,"Domestic bonds: ALROSA, 03 (4-03-40046-N)",,redeemed,Zero-coupon bonds,,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,ALROSA,,"500,000,000 RUB",No,,,
7,Valid,"Domestic bonds: ALROSA, 04 (4-04-40046-N)",,redeemed,Zero-coupon bonds,,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,ALROSA,,"500,000,000 RUB",No,,,
8,Valid,"Domestic bonds: ALROSA, 05 (4-05-40046-N, RU0007200028)",RU0007200028,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,ALROSA,,"500,000,000 RUB",No,,,
9,Valid,"Domestic bonds: ALROSA, 06 (4-06-40046-N, RU22ALRS6004)",RU22ALRS6004,redeemed,Coupon bonds,4 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,ALROSA,,"600,000,000 RUB",No,,,13.23%
10,Valid,"Domestic bonds: ALROSA, 07 (4-07-40046-N, RU0007200044)",RU0007200044,redeemed,Coupon bonds,4 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,ALROSA,,"600,000,000 RUB",No,,,8.87%
11,Valid,"Domestic bonds: ALROSA, 08 (4-08-40046-N, RU0007787636)",RU0007787636,redeemed,Coupon bonds,4 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,ALROSA,,"500,000,000 RUB",No,,,8%
12,Valid,"Domestic bonds: ALROSA, 09 (4-09-40046-N, RU0008461595)",RU0008461595,redeemed,Coupon bonds,4 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,ALROSA,,"500,000,000 RUB",No,,,10%
13,Valid,"Domestic bonds: ALROSA, 10 (4-10-40046-N, RU0008514567)",RU0008514567,redeemed,Coupon bonds,4 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,ALROSA,,"500,000,000 RUB",No,,,12.86%
