Issuer,Currency,Due_Date,Coupon,ISIN
"Österreich, Republik",EUR,15.07.2027,"6,250%",AT0000383864
"Österreich, Republik",EUR,15.07.2020,"3,900%",AT0000386115
"Österreich, Republik",EUR,15.09.2021,"3,500%",AT0000A001X2
"Österreich, Republik",EUR,15.03.2037,"4,150%",AT0000A04967
"Österreich, Republik",EUR,15.03.2026,"4,850%",AT0000A0DXC2
"Österreich, Republik",EUR,20.04.2022,"3,650%",AT0000A0N9A0
"Österreich, Republik",EUR,26.01.2062,"3,800%",AT0000A0U299
"Österreich, Republik",EUR,22.11.2022,"3,400%",AT0000A0U3T4
"Österreich, Republik",EUR,20.06.2044,"3,150%",AT0000A0VRQ6
Kärntner Elektrizitäts-AG,EUR,24.10.2022,"3,250%",AT0000A0X913
"Österreich, Republik",EUR,20.10.2023,"1,750%",AT0000A105W3
"Österreich, Republik",EUR,23.05.2034,"2,400%",AT0000A10683
Vienna Insurance Group AG Wiener Versicherung Gruppe,EUR,09.10.2043,"5,500%",AT0000A12GN0
Erste Group Bank AG,EUR,28.09.2022,"3,000%",AT0000A15ZJ1
Kärntner Elektrizitäts-AG,EUR,25.06.2026,"3,000%",AT0000A17Z60
Novomatic AG,EUR,23.06.2021,"3,000%",AT0000A182L5
"Österreich, Republik",EUR,21.10.2024,"1,650%",AT0000A185T1
Erste Group Bank AG,EUR,22.10.2025,"4,000%",AT0000A19NR2
voestalpine AG,EUR,14.10.2021,"2,250%",AT0000A19S18
Erste Group Bank AG,EUR,07.01.2022,"1,100%",AT0000A1ASM5
Erste Group Bank AG,EUR,16.01.2023,"1,000%",AT0000A1ASR4
Erste Group Bank AG,EUR,30.01.2023,"3,000%",AT0000A1BTF5
Strabag SE,EUR,04.02.2022,"1,625%",AT0000A1C741
CA Immobilien Anlagen AG,EUR,17.02.2022,"2,750%",AT0000A1CB33
Vienna Insurance Group AG Wiener Versicherung Gruppe,EUR,02.03.2046,"3,750%",AT0000A1D5E1
Erste Group Bank AG,EUR,20.05.2025,"3,000%",AT0000A1E283
"Österreich, Republik",EUR,20.10.2025,"1,200%",AT0000A1FAP5
CA Immobilien Anlagen AG,EUR,17.02.2023,"2,750%",AT0000A1JVU3
"Österreich, Republik",EUR,20.10.2026,"0,750%",AT0000A1K9C8
"Österreich, Republik",EUR,20.02.2047,"1,500%",AT0000A1K9F1
Novomatic AG,EUR,20.09.2023,"1,625%",AT0000A1LHT0
CA Immobilien Anlagen AG,EUR,12.07.2021,"1,875%",AT0000A1LJH1
"Österreich, Republik",EUR,15.07.2023,"0,000%",AT0000A1PE50
"Österreich, Republik",EUR,02.11.2086,"1,500%",AT0000A1PEF7
