ISIN,NAME
AT0000383864,"Österreich, Republik EO-Bundesanl. 1997(27) 6"
AT0000386115,"Österreich, Republik EO-Med.-T. Nts 2005(20) 144A"
AT0000A001X2,"Österreich, Republik EO-Med.-T. Nts 2006(21) 144A"
AT0000A04967,"Österreich, Republik EO-Med.-T. Nts 2007(37) 144A"
AT0000A0DXC2,"Österreich, Republik EO-Med.-Term Nts 2009(26) 144A"
AT0000A0N9A0,"Österreich, Republik EO-Med.-Term Nts 2011(22) 144A"
AT0000A0U299,"Österreich, Republik EO-Bundesanl. 2012(62)"
AT0000A0U3T4,"Österreich, Republik EO-Bundesanl. 2012(22)"
AT0000A0VRQ6,"Österreich, Republik EO-Medium-Term Notes 2012(44)"
AT0000A0X913,Kärntner Elektrizitäts-AG EO-Medium-Term Notes 2012(22)
AT0000A105W3,"Österreich, Republik EO-Bundesanl. 2013(23)"
AT0000A10683,"Österreich, Republik EO-Bundesanl. 2013(34)"
AT0000A12GN0,Vienna Insurance Group AG EO-FLR Med.-T. Nts 2013(23/43)
AT0000A15ZJ1,Erste Group Bank AG EO-FLR Med.-T. Nts 14(22) 1283
AT0000A17Z60,Kärntner Elektrizitäts-AG EO-Medium-Term Notes 2014(26)
AT0000A182L5,Novomatic AG EO-Med-Term Schuldv. 2014(21)1
AT0000A185T1,"Österreich, Republik EO-Bundesanl. 2014(24)"
AT0000A19NR2,Erste Group Bank AG EO-Med.-Term Nts 2014(25)1355
AT0000A19S18,voestalpine AG EO-Medium-Term Notes 2014(21)
AT0000A1ASM5,Erste Group Bank AG EO-Med.-Term Nts 2015(22) 1372
AT0000A1ASR4,Erste Group Bank AG EO-FLR Med.-T. Nts 15(23) 1374
AT0000A1BTF5,Erste Group Bank AG EO-FLR Med.-T. Nts 15(23) 1384
AT0000A1C741,Strabag SE EO-Anl. 2015(22)
AT0000A1CB33,CA Immobilien Anlagen AG EO-Anl. 2015(22)
AT0000A1D5E1,Vienna Insurance Group AG EO-FLR Med.-T. Nts 2015(26/46)
AT0000A1E283,Erste Group Bank AG EO-Var.Med.-T. SV 15(25) 1416
AT0000A1FAP5,"Österreich, Republik EO-Bundesanl. 2015(25)"
AT0000A1JVU3,CA Immobilien Anlagen AG EO-Anl. 2016(23)
AT0000A1K9C8,"Österreich, Republik EO-Bundesanl. 2016(26)"
AT0000A1K9F1,"Österreich, Republik EO-Bundesanl. 2016(47)"
AT0000A1LHT0,Novomatic AG EO-Med-Term Schuldv. 2016(23)1
AT0000A1LJH1,CA Immobilien Anlagen AG EO-Anl. 2016(21)
AT0000A1PE50,"Österreich, Republik EO-Bundesanl. 2016(23)"
AT0000A1PEF7,"Österreich, Republik EO-Bundesanl. 2016(86)"
AT0000A1VGA1,Vienna Insurance Group AG EO-FLR Anl. 2017(27/47)
AT0000A1VGK0,"Österreich, Republik EO-Bundesanl. 2017(27)"
AT0000A1VKJ4,Wiener Städt. Vers. AG VIG EO-Schuldverschr.2017(27)
AT0000A1XBU6,UBM Development AG EO-Anleihe 2017(22)
AT0000A1XM92,"Österreich, Republik EO-Medium-Term Notes 2017(22)"
AT0000A1XML2,"Österreich, Republik EO-Med.-Term Notes 2017(2117)"
AT0000A1Y3P7,voestalpine AG EO-Medium-Term Notes 2017(24)
AT0000A1Z9C1,S IMMO AG EO-Med.-Term Notes 2018(30) 2
AT0000A1Z9D9,S IMMO AG EO-Med.-Term Notes 2018(24) 1
AT0000A1ZGE4,"Österreich, Republik EO-Medium-Term Notes 2018(28)"
AT0000A20F93,Wienerberger AG EO-Schuldv. 2018(24)
AT0000A23ST9,UBM Development AG EO-Anleihe 2018(23)
