,ISIN,Identifier,Issuer,Maturity,Seniority,Currency,Coupon,Frequency
0,RU000A0JTJL3,ru000a0jtjl3-russische-foederation-7-13-23,Russische Föderation,2023-01-25,,RUB,7.0,semiannual
1,XS2075938188,xs2075938188-european-bank-for-reconstruction-and-development-5-19-24,European Bank for Reconstruction and Development,2024-11-05,,RUB,5.0,yearly
2,XS1068871448,xs1068871448-bnp-paribas-s-a-2-375-14-24,BNP Paribas S.A.,2024-05-20,,EUR,2.375,yearly
3,XS1412417617,xs1412417617-national-australia-bank-ltd-1-25-16-26,National Australia Bank Ltd.,2026-05-18,,EUR,1.25,yearly
4,RU000A0JREQ7,ru000a0jreq7-russische-foederation-7-6-11-21,Russische Föderation,2021-04-14,,RUB,7.6,semiannual
5,FR0010967216,fr0010967216-danone-s-a-3-6-10-20,Danone S.A.,2020-11-23,,EUR,3.6,yearly
6,RU000A0JSMA2,ru000a0jsma2-russische-foederation-7-6-12-22,Russische Föderation,2022-07-20,,RUB,7.6,semiannual
7,NO0010705536,no0010705536-norwegen-koenigreich-3-14-24,"Norwegen, Königreich",2024-03-14,,NOK,3.0,yearly
8,DE0001102481,de0001102481-deutschland-bundesrepublik-0-000-19-50,"Deutschland, Bundesrepublik",2050-08-15,,EUR,,yearly
9,XS1555330999,xs1555330999-european-investment-bank-eib-1-5-17-24,European Investment Bank (EIB),2024-01-26,,NOK,1.5,yearly
10,XS0318345971,xs0318345971-european-investment-bank-eib-0-000-07-22,European Investment Bank (EIB),2022-09-05,,TRY,,no payments
11,US45950VEM46,us45950vem46-international-finance-corp-6-3-14-24,International Finance Corp.,2024-11-25,,INR,6.3,semiannual
12,XS0997941355,xs0997941355-k-s-aktiengesellschaft-4-125-13-21,K+S Aktiengesellschaft,2021-12-06,,EUR,4.125,yearly
13,DE000A2LQKV2,de000a2lqkv2-sixt-leasing-se-1-5-18-22,Sixt Leasing SE,2022-05-02,,EUR,1.5,yearly
14,DE000A0E5JD4,de000a0e5jd4-deutsche-bank-capital-finance-trust-i-1-75,Deutsche Bank Capital Finance Trust I,,True,EUR,1.75,yearly
15,DE000A2YN3Q8,de000a2yn3q8-deutsche-rohstoff-ag-5-25-19-24,Deutsche Rohstoff AG,2024-12-06,,EUR,5.25,semiannual
16,RU000A0JTK38,ru000a0jtk38-russische-foederation-7-05-13-28,Russische Föderation,2028-01-19,,RUB,7.05,semiannual
17,ZAG000030404,zag000030404-south-africa-republic-of-6-25-06-36,"South Africa, Republic of",2036-03-31,,ZAR,6.25,semiannual
18,DE000A2TEDB8,de000a2tedb8-thyssenkrupp-ag-2-875-19-24,thyssenkrupp AG,2024-02-22,,EUR,2.875,yearly
19,DE000A289R74,de000a289r74-aves-one-ag-5-25-20-25,Aves One AG,2025-06-01,,EUR,5.25,semiannual
20,DE0001135473,de0001135473-deutschland-bundesrepublik-1-75-12-22,"Deutschland, Bundesrepublik",2022-07-04,,EUR,1.75,yearly
21,XS2049726990,xs2049726990-deutsche-lufthansa-ag-0-25-19-24,Deutsche Lufthansa AG,2024-09-06,,EUR,0.25,yearly
22,XS1758488941,xs1758488941-kreditanstalt-fuer-wiederaufbau-1-125-18-22,Kreditanstalt für Wiederaufbau,2022-05-12,,NOK,1.125,yearly
23,XS0803131282,xs0803131282-metro-ag-4-12-24,METRO AG,2024-07-10,,EUR,4.0,yearly
24,DE000A19NPE8,de000a19npe8-encavis-finance-b-v-5-25,Encavis Finance B.V.,,True,EUR,5.25,semiannual
25,DE0005229942,bertelsmann-gen-2001,Bertelsmann SE & Co. KGaA,,True,EUR,,
26,FR0013449261,fr0013449261-lagardere-s-c-a-2-125-19-26,Lagardère S.C.A.,2026-10-16,,EUR,2.125,yearly
27,DE000A14J7A9,de000a14j7a9-heidelberger-druckmaschinen-ag-8-15-22,Heidelberger Druckmaschinen AG,2022-05-15,,EUR,8.0,semiannual
28,DE0001102374,de0001102374-deutschland-bundesrepublik-0-5-15-25,"Deutschland, Bundesrepublik",2025-02-15,,EUR,0.5,yearly
29,ZAG000125980,zag000125980-south-africa-republic-of-9-15-40,"South Africa, Republic of",2040-01-31,,ZAR,9.0,semiannual
30,ZAG000107012,zag000107012-south-africa-republic-of-8-5-13-37,"South Africa, Republic of",2037-01-31,,ZAR,8.5,semiannual
31,USC10602AY36,usc10602ay36-bombardier-inc-6-14-22,Bombardier Inc.,2022-10-15,,USD,6.0,semiannual
32,XS1695284114,xs1695284114-baywa-ag-4-25,BayWa AG,,True,EUR,4.25,yearly
33,US91911TAE38,us91911tae38-vale-overseas-ltd-8-25-04-34,Vale Overseas Ltd.,2034-01-17,,USD,8.25,semiannual
34,XS2078696866,xs2078696866-grenke-finance-plc-0-625-19-25,Grenke Finance PLC,2025-01-09,,EUR,0.625,yearly
35,NO0010646813,no0010646813-norwegen-koenigreich-2-12-23,"Norwegen, Königreich",2023-05-24,,NOK,2.0,yearly
36,DE000A19MFH4,de000a19mfh4-photon-energy-n-v-7-75-17-22,Photon Energy N.V.,2022-10-27,,EUR,7.75,quarterly
37,DE0001030567,de0001030567-deutschland-bundesrepublik-0-105-15-26,"Deutschland, Bundesrepublik",2026-04-15,,EUR,0.1047,yearly
38,XS0302236673,xs0302236673-nordrhein-westfalen-land-7-5-07-27,"Nordrhein-Westfalen, Land",2027-06-08,,MXN,7.5,yearly
39,XS1861206636,xs1861206636-the-goldman-sachs-group-inc-2-18-28,The Goldman Sachs Group Inc.,2028-11-01,,EUR,2.0,yearly
40,DE000A2BPUC4,de000a2bpuc4-fcr-immobilien-ag-7-1-16-21,FCR Immobilien AG,2021-10-18,,EUR,7.1,yearly
41,XS1002121454,xs1002121454-stichting-ak-rabobank-certificaten-6-5,Stichting AK Rabobank Certificaten,,True,EUR,6.5,quarterly
42,DE0001135457,de0001135457-deutschland-bundesrepublik-2-25-11-21,"Deutschland, Bundesrepublik",2021-09-04,,EUR,2.25,yearly
43,XS2178833773,xs2178833773-fiat-chrysler-automobiles-n-v-3-875-20-26,Fiat Chrysler Automobiles N.V.,2026-01-05,,EUR,3.875,yearly
44,DE000A2G9H97,de000a2g9h97-consus-real-estate-ag-4-17-22,Consus Real Estate AG,2022-11-29,,EUR,4.0,semiannual
45,DE0001141737,de0001141737-deutschland-bundesrepublik-0-000-16-21,"Deutschland, Bundesrepublik",2021-04-09,,EUR,,yearly
46,XS2198574209,xs2198574209-hannover-rueck-se-1-75-20-40,Hannover Rück SE,2040-10-08,True,EUR,1.75,yearly
47,XS1244815111,xs1244815111-cma-cgm-s-a-7-75-15-21,CMA CGM S.A.,2021-01-15,,EUR,7.75,semiannual
48,XS2199266003,xs2199266003-bayer-ag-0-75-20-27,Bayer AG,2027-01-06,,EUR,0.75,yearly
49,US105756BB58,us105756bb58-brasilien-foederative-republik-8-25-04-34,"Brasilien, Föderative Republik",2034-01-20,,USD,8.25,semiannual
50,XS2197673747,xs2197673747-mtu-aero-engines-ag-3-20-25,MTU Aero Engines AG,2025-07-01,,EUR,3.0,yearly
51,DE000A254N04,de000a254n04-gross-partner-grundstuecksentwicklungsgesellschaft-mbh-5-20-25,Groß & Partner Grundstücksentwicklungsgesellschaft mbH,2025-02-21,,EUR,5.0,semiannual
52,XS1271836600,xs1271836600-deutsche-lufthansa-ag-5-125-15-75,Deutsche Lufthansa AG,2075-08-12,True,EUR,5.125,yearly
53,AT0000A208R5,at0000a208r5-egger-holzwerkstoffe-gmbh-4-875,Egger Holzwerkstoffe GmbH,,True,EUR,4.875,yearly
54,DE000DB7XHP3,de000db7xhp3-deutsche-bank-ag-6,Deutsche Bank AG,,True,EUR,6.0,yearly
55,FR0013428414,fr0013428414-renault-s-a-1-25-19-25,Renault S.A.,2025-06-24,,EUR,1.25,yearly
56,NO0010872864,no0010872864-mutares-se-co-kgaa-6-20-24,Mutares SE & Co. KGaA,2024-02-14,,EUR,6.0,quarterly
57,XS1227593933,xs1227593933-european-investment-bank-eib-1-5-15-22,European Investment Bank (EIB),2022-05-12,,NOK,1.5,yearly
58,DE000A2LQQ43,de000a2lqq43-semper-idem-underberg-ag-4-18-24,Semper idem Underberg AG,2024-07-04,,EUR,4.0,yearly
59,AT0000A27LQ1,at0000a27lq1-voestalpine-ag-1-75-19-26,voestalpine AG,2026-04-10,,EUR,1.75,yearly
60,XS1892141620,xs1892141620-rumaenien-republik-2-875-18-29,"Rumänien, Republik",2029-03-11,,EUR,2.875,yearly
61,XS1605600532,xs1605600532-la-financiere-atalian-s-a-4-17-24,La Financiere Atalian S.A.,2024-05-15,,EUR,4.0,semiannual
62,FR0013237484,fr0013237484-solocal-group-8-17-22,Solocal Group,2022-03-15,,EUR,8.0,quarterly
63,DE000A254YS5,de000a254ys5-accentro-real-estate-ag-3-625-20-23,Accentro Real Estate AG,2023-02-13,,EUR,3.625,semiannual
