Identifier,Identifier_Status,Announcement_Type,Announcement_Date,Issue,Issue_No,Status,Country,Maturity,Amt,Company,Company_No,Prev_Rating,Prev_Time,Curr_Rating,Curr_Time
17664,Valid,Others,,,,,,,,,,,,,
17708,Valid,Others,,,,,,,,,,,,,
17746,Valid,Others,,,,,,,,,,,,,
17782,Valid,Update,"February 12, 2003  ",,,,,,,,,,,,
17802,Valid,Others,,,,,,,,,,,,,
17819,Valid,Others,,,,,,,,,,,,,
17822,Valid,Others,,,,,,,,,,,,,
17828,Valid,Others,,,,,,,,,,,,,
17836,Valid,Others,,,,,,,,,,,,,
17849,Valid,Others,,,,,,,,,,,,,
17853,Valid,Others,,,,,,,,,,,,,
17854,Valid,Others,,,,,,,,,,,,,
17870,Valid,Others,,,,,,,,,,,,,
17877,Valid,Others,,,,,,,,,,,,,
17880,Valid,Others,,,,,,,,,,,,,
17881,Valid,Others,,,,,,,,,,,,,
17882,Valid,Others,,,,,,,,,,,,,
17887,Valid,Others,,,,,,,,,,,,,
17889,Valid,Others,,,,,,,,,,,,,
17895,Valid,Others,,,,,,,,,,,,,
17897,Valid,Others,,,,,,,,,,,,,
17910,Valid,Others,,,,,,,,,,,,,
17914,Valid,Others,,,,,,,,,,,,,
17923,Valid,Others,,,,,,,,,,,,,
17929,Valid,Others,,,,,,,,,,,,,
17934,Valid,Update,"March 14, 2003  ",,,,,,,,,,,,
17941,Valid,Others,,,,,,,,,,,,,
17942,Valid,Others,,,,,,,,,,,,,
17952,Valid,Others,,,,,,,,,,,,,
17958,Valid,Update,"March 18, 2003  ",,,,,,,,,,,,
17959,Valid,Others,,,,,,,,,,,,,
17960,Valid,Update,"March 18, 2003  ",,,,,,,,,,,,
17964,Valid,Others,,,,,,,,,,,,,
17974,Valid,Others,,,,,,,,,,,,,
17978,Valid,Others,,,,,,,,,,,,,
17979,Valid,Others,,,,,,,,,,,,,
17993,Valid,Others,,,,,,,,,,,,,
18008,Valid,Update,"March 26, 2003  ",,,,,,,,,,,,
18023,Valid,Others,,,,,,,,,,,,,
18025,Valid,Others,,,,,,,,,,,,,
18026,Valid,Others,,,,,,,,,,,,,
18033,Valid,Others,,,,,,,,,,,,,
18038,Valid,Others,,,,,,,,,,,,,
18046,Valid,Others,,,,,,,,,,,,,
18048,Valid,Others,,,,,,,,,,,,,
18053,Valid,Others,,,,,,,,,,,,,
18066,Valid,Others,,,,,,,,,,,,,
18073,Valid,Others,,,,,,,,,,,,,
18083,Valid,Others,,,,,,,,,,,,,
18084,Valid,Others,,,,,,,,,,,,,
18085,Valid,Others,,,,,,,,,,,,,
18092,Valid,Others,,,,,,,,,,,,,
18105,Valid,Others,,,,,,,,,,,,,
18106,Valid,Others,,,,,,,,,,,,,
18108,Valid,Update,"April 09, 2003  ",,,,,,,,,,,,
18109,Valid,Others,,,,,,,,,,,,,
18113,Valid,Others,,,,,,,,,,,,,
18125,Valid,Others,,,,,,,,,,,,,
18133,Valid,Others,,,,,,,,,,,,,
18137,Valid,Others,,,,,,,,,,,,,
18157,Valid,Others,,,,,,,,,,,,,
18158,Valid,Others,,,,,,,,,,,,,
18169,Valid,Others,,,,,,,,,,,,,
18171,Valid,Others,,,,,,,,,,,,,
18172,Valid,Others,,,,,,,,,,,,,
18174,Valid,Others,,,,,,,,,,,,,
18176,Valid,Others,,,,,,,,,,,,,
18190,Valid,Others,,,,,,,,,,,,,
18191,Valid,Others,,,,,,,,,,,,,
18197,Valid,Others,,,,,,,,,,,,,
18204,Valid,Others,,,,,,,,,,,,,
18211,Valid,Others,,,,,,,,,,,,,
18219,Valid,Others,,,,,,,,,,,,,
18228,Valid,Others,,,,,,,,,,,,,
18243,Valid,Others,,,,,,,,,,,,,
18269,Valid,Others,,,,,,,,,,,,,
18274,Valid,Others,,,,,,,,,,,,,
18277,Valid,Others,,,,,,,,,,,,,
18297,Valid,Others,,,,,,,,,,,,,
18323,Valid,Others,,,,,,,,,,,,,
18330,Valid,Others,,,,,,,,,,,,,
18331,Valid,Others,,,,,,,,,,,,,
18352,Valid,Others,,,,,,,,,,,,,
18357,Valid,Others,,,,,,,,,,,,,
18362,Valid,Others,,,,,,,,,,,,,
18370,Valid,Others,,,,,,,,,,,,,
18375,Valid,Others,,,,,,,,,,,,,
18378,Valid,Others,,,,,,,,,,,,,
18389,Valid,Others,,,,,,,,,,,,,
18390,Valid,Others,,,,,,,,,,,,,
18393,Valid,Others,,,,,,,,,,,,,
18396,Valid,Others,,,,,,,,,,,,,
18406,Valid,Others,,,,,,,,,,,,,
18414,Valid,Others,,,,,,,,,,,,,
18442,Valid,Others,,,,,,,,,,,,,
18444,Valid,Others,,,,,,,,,,,,,
18448,Valid,Others,,,,,,,,,,,,,
18462,Valid,Others,,,,,,,,,,,,,
18469,Valid,Others,,,,,,,,,,,,,
18476,Valid,Others,,,,,,,,,,,,,
18510,Valid,Others,,,,,,,,,,,,,
18515,Valid,Others,,,,,,,,,,,,,
18520,Valid,Others,,,,,,,,,,,,,
18526,Valid,Others,,,,,,,,,,,,,
18592,Valid,Others,,,,,,,,,,,,,
18601,Valid,Others,,,,,,,,,,,,,
18622,Valid,Others,,,,,,,,,,,,,
18668,Valid,Others,,,,,,,,,,,,,
18676,Valid,Others,,,,,,,,,,,,,
18688,Valid,Others,,,,,,,,,,,,,
18693,Valid,Others,,,,,,,,,,,,,
18701,Valid,Others,,,,,,,,,,,,,
18720,Valid,Others,,,,,,,,,,,,,
18742,Valid,Update,"July 22, 2003  ",,,,,,,,,,,,
18791,Valid,Others,,,,,,,,,,,,,
18794,Valid,Update,"August 04, 2003  ",,,,,,,,,,,,
18797,Valid,Others,,,,,,,,,,,,,
18810,Valid,Others,,,,,,,,,,,,,
18815,Valid,Others,,,,,,,,,,,,,
18823,Valid,Others,,,,,,,,,,,,,
18836,Valid,Others,,,,,,,,,,,,,
18842,Valid,Others,,,,,,,,,,,,,
18847,Valid,Others,,,,,,,,,,,,,
18849,Valid,Others,,,,,,,,,,,,,
18865,Valid,Others,,,,,,,,,,,,,
18874,Valid,Others,,,,,,,,,,,,,
18876,Valid,Others,,,,,,,,,,,,,
18883,Valid,Others,,,,,,,,,,,,,
18890,Valid,Others,,,,,,,,,,,,,
18897,Valid,Others,,,,,,,,,,,,,
18901,Valid,Others,,,,,,,,,,,,,
18909,Valid,Others,,,,,,,,,,,,,
18913,Valid,Others,,,,,,,,,,,,,
18922,Valid,Others,,,,,,,,,,,,,
18923,Valid,Others,,,,,,,,,,,,,
18926,Valid,Others,,,,,,,,,,,,,
18932,Valid,Others,,,,,,,,,,,,,
18935,Valid,Others,,,,,,,,,,,,,
18937,Valid,Others,,,,,,,,,,,,,
18944,Valid,Others,,,,,,,,,,,,,
18951,Valid,Others,,,,,,,,,,,,,
18952,Valid,Others,,,,,,,,,,,,,
18963,Valid,Others,,,,,,,,,,,,,
18969,Valid,Others,,,,,,,,,,,,,
18974,Valid,Others,,,,,,,,,,,,,
18987,Valid,Others,,,,,,,,,,,,,
18989,Valid,Others,,,,,,,,,,,,,
18992,Valid,Others,,,,,,,,,,,,,
18994,Valid,Others,,,,,,,,,,,,,
18997,Valid,Others,,,,,,,,,,,,,
19002,Valid,Others,,,,,,,,,,,,,
19005,Valid,Others,,,,,,,,,,,,,
19016,Valid,Others,,,,,,,,,,,,,
19017,Valid,Others,,,,,,,,,,,,,
19026,Valid,Others,,,,,,,,,,,,,
