Identifier,Identifier_Status,Name,ISIN,Ticker,Country,Bond_Status,Bond_Type,Coupon_Freq,Subordinated,Sinkable,Perpetual,Convertible,Conversion_Terms,Structured,Restructuring,Securitization,Mortgage,Trace,Covered,Foreign,CDO,Sukuk,Retail,Supranational,Green,Non-Marketable,Issuer,Issuer_ID,SPV_Issuer,SPV_Issuer_ID,Borrower,Borrower_ID,Amount,Floating,Ref_Rate,Margin,Current_Rate,Listing,Integral_Multiple,Nominal,Nominal_Intl_Bonds,Min_Settlement_Amt,Outstanding_Principal_Amt,Amt,Amt_Outstanding,Oustanding_Face_Val_Amt
179,Valid,"Domestic bonds: MKH, 01 (4-01-01996-A, RU0008288774)",RU0008288774,MKHRU 25 03/16/04 1,Russia,redeemed,Coupon bonds,4 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,MKH,96,,,,,"900,000,000 RUB",No,,,25%,Moscow Exchange,,"1,000 RUB",,,0 RUB,"900,000,000 RUB",0 RUB,
508,Valid,"Domestic bonds: Soyuzobschemashbank, 01 (40103162B, RU0005880987)",RU0005880987,SOYUBK 15 01/10/06 ++01,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Soyuzobschemashbank,205,,,,,"200,000,000 RUB",No,,,,Moscow Exchange,,"1,000 RUB",,,,"200,000,000 RUB",,
531,Valid,"Domestic bonds: RusLAD, 01 (4-01-36020-R, RU0008420278)",RU0008420278,RUSLAD 16 03/14/05 ++01,Russia,redeemed,Coupon bonds,4 time(s) per year,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,RusLAD,216,,,,,"150,000,000 RUB",No,,,16%,Moscow Exchange,,"1,000 RUB",,,0 RUB,"150,000,000 RUB",0 RUB,
576,Valid,"Domestic bonds: Sodbusinessbank, 01 (40101601B, RU0007190963)",RU0007190963,SODBNK 15 05/23/06 +01,Russia,redemption default,Coupon bonds,4 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Sodbusinessbank,241,,,,,"500,000,000 RUB",No,,,15%,Moscow Exchange,,"1,000 RUB",,,,"500,000,000 RUB",,
589,Valid,"Domestic bonds: Credittrust, 01 (40102993B, RU0008487913)",RU0008487913,CRCTRU 15 05/29/05 ++01,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Credittrust,193,,,,,"500,000,000 RUB",No,,,15%,Moscow Exchange,,"1,000 RUB",,,,"500,000,000 RUB",,
629,Valid,"Domestic bonds: VINAP-INVEST, 01 (4-01-36034-R, RU0009009732)",RU0009009732,VINAP 13.3 08/15/06 01,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,VINAP-INVEST,263,,,,,"400,000,000 RUB",No,,,13.30%,Moscow Exchange,,"1,000 RUB",,,,"400,000,000 RUB",,
646,Valid,"Domestic bonds: Promeximbank, 01 (40102847B)",,,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Promeximbank,273,,,,,"200,000,000 RUB",No,,,,Moscow Exchange,,"1,000 RUB",,,,"200,000,000 RUB",,
747,Valid,"International bonds: BTA bank, 7.875% 2jun2010, USD (XS0168848801)",XS0168848801,BTAS 7.875 06/02/10 REGS,Kazakhstan,redeemed,Coupon bonds,2 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,TuranAlem Finance B.V.,527,BTA bank,332,"600,000,000 USD",No,,,7.88%,Luxembourg S.E.,"1,000 USD",,"1,000 USD","100,000 USD",0 USD,"600,000,000 USD",0 USD,
1001,Valid,"International bonds: Argentina, 10.25% 26jan2007, EUR (DE0004509005)",DE0004509005,ARGENT 10.25 01/26/07,Argentina,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,Argentina,418,"750,000,000 EUR",No,,,10.25%,,"1,000 EUR",,"1,000 EUR","1,000 EUR","1,000 EUR","750,000,000 EUR",,
1003,Valid,"International bonds: Argentina, 10% 26feb2008, EUR (XS0103457585)",XS0103457585,ARGENT 8 02/26/08,Argentina,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,Argentina,418,"455,560,000 EUR",No,,,8%,,0.01 EUR,,0.01 EUR,0.01 EUR,0.01 EUR,"455,560,000 EUR","26,090,000 EUR",
