,ISIN,NAME
1,PTPTCYOM0008,Portugal Telecom Intl Fin.B.V. EO-Bonds 2012(16)
2,CH0214883156,CHF Hero 20
3,CH0215275519,CHF Rabobank 20
4,DE000A2E4P22,IKB Deutsche Industriebank AG Stufenz.MTN-IHS v.2017(2020)
5,XS0520755488,Nordea Bank Abp EO-Medium-Term Notes 2010(20)
6,XS0522030310,DNB Bank ASA EO-Medium-Term Notes 2010(20)
7,XS0521158500,CEZ AS EO-Medium-Term Notes 2010(20)
8,XS0223447227,EDP Finance B.V. EO-Medium-Term Notes 2005(20)
9,XS1238017765,Co&#246;p. Rabobank (Austr. Branch) AD-Medium-Term Notes 2015(20)
10,XS1238020124,BMW Finance N.V. LS-Medium-Term Notes 2015(20)
11,USP3142CDA47,Corporaci&#243;n Geo S.A.B. de C.V. DL-Notes 2010(10/20) Reg.S
12,XS1254428540,UBS AG (London Branch) EO-Medium-Term Nts 2015(20)
13,US056752AF54,Baidu Inc. DL-Notes 2015(15/20)
14,XS1627597013,Kaisa Group Holdings Ltd. DL-Notes 2017(17/20)
15,XS1646904828,ABN AMRO Bank N.V. LS-Medium-Term Notes 2017(20)
16,USP4949BAG97,Grupo Bimbo S.A.B. de C.V. DL-Notes 2010(10/20) Reg.S
17,BE6254681248,Brussels Airport Company SA/NV EO-Medium-Term Nts 2013(20)
18,US50077LAH96,Kraft Heinz Foods Co. DL-Notes 2016(16/20)
19,US00138EAD67,AIG Global Funding DL-Med.-Term Nts 2017(20)Reg.S
20,DE000HSH4ZX3,Hamburg Commercial Bank AG Sommer-MiniMax 15(20)
21,CH0287282476,ArcelorMittal S.A. SF-Medium-Term Notes 2015(20)
22,XS1589881272,BMW Finance N.V. EO-Medium-Term Notes 2017(20)
23,IT0005025330,Intesa Sanpaolo S.p.A. EO-FLR Obbl. 2014(20)
24,XS1084568762,ArcelorMittal S.A. EO-Medium-Term Notes 2014(20)
25,XS1612513132,Skyland Mining (BVI) Ltd. DL-Notes 2017(20) Reg.S
26,XS0522407351,B.A.T. Intl Finance PLC EO-Medium-Term Notes 2010(20)
27,US931142CU56,Walmart Inc. DL-Notes 2010(20)
28,FR0013241379,RCI Banque S.A. EO-FLR Med.-Term Nts 2017(20)
29,XS0524610812,VEB Finance PLC DL-Med.-Term LPN10(20)&#39;VEB Bk&#39;
30,XS0951395317,Total Capital Canada Ltd. EO-Medium-Term Notes 2013(20)
31,XS0951381523,Nederlandse Waterschapsbank NV EO-Bonds 2013(20)
32,XS1086785182,OTE PLC EO-Med.-Term Notes 2014(20)
33,BE6305976068,Euroclear Bank S.A./N.V. EO-FLR M.T.Notes 2018(20)
34,IT0005025512,Intesa Sanpaolo S.p.A. EO-FLR Obbl. 2014(20)
35,XS1632814577,Hengjian Intl Investment Ltd. DL-Notes 2017(20)
36,XS0525146907,National Australia Bank Ltd. EO-Medium-Term Notes 2010(20)
37,XS1258431821,Credit Agricole CIB EO-FLR Med.-Term Nts 2015(20)
38,US37045XAY22,General Motors Financial Co. DL-Notes 2015(15/20)
39,USU65478BC95,Nissan Motor Acceptance Corp. DL-Notes 2017(17/20) Reg.S
40,US251525AT85,Deutsche Bank AG DL-Senior Notes v.17(20)
41,US251525AV32,Deutsche Bank AG FLR-DL-Senior Notes v.17(20)
42,USU65478BD78,Nissan Motor Acceptance Corp. DL-FLR Notes 2017(20) Reg.S
43,FR0013344447,SAFRAN EO-FLR Obl. 2018(20)
44,XS1856309270,"Toronto-Dominion Bank, The EO-FLR Med.-Term Nts 2018(20)"
45,US06367T7H77,Bank of Montreal DL-Medium-Term Nts 2018(20)
46,XS1637096519,Shanghai Pud. Dev.Bk.(HK Br.) DL-FLR Med.-Term Nts 2017(20)
47,US064159JX56,"Bank of Nova Scotia, The DL-Notes 2017(20)"
