Identifier,ISIN,Issuer,Coupon,Maturity,Subordinated,Currency,Next Interest Date
11303217,XS0098314874,"Argentinien, Republik","7,125 %",10.06.2002,Nein,Euro,10.06.2002
88522210,DE0003527966,"Argentinien, Republik","9,250 %",21.10.2002,Nein,Euro,21.10.2002
11300567,DE0001300200,"Argentinien, Republik","10,500 %",14.11.2002,Nein,Deutsche Mark,14.11.2002
11300577,XS0084071421,"Argentinien, Republik","8,750 %",04.02.2003,Nein,Euro,04.02.2003
11300568,DE0001308609,"Argentinien, Republik","10,250 %",06.02.2003,Nein,Deutsche Mark,06.02.2003
11300570,DE0002466208,"Argentinien, Republik","9,000 %",20.06.2003,Nein,Euro,20.06.2003
11300569,DE0001340909,"Argentinien, Republik","9,000 %",19.09.2003,Nein,Deutsche Mark,19.09.2003
139447,DE0003538914,"Argentinien, Republik","9,750 %",26.11.2003,Nein,Euro,26.11.2003
131297,DE0002929452,"Argentinien, Republik","9,500 %",04.03.2004,Nein,Euro,04.03.2004
116539,DE0001904308,"Argentinien, Republik","7,000 %",18.03.2004,Nein,Deutsche Mark,18.03.2004
88596298,XS0096960751,"Argentinien, Republik","7,000 %",18.03.2004,Nein,Euro,18.03.2004
1538025,DE0003089850,"Argentinien, Republik","8,500 %",01.07.2004,Nein,Euro,01.07.2004
317131,XS0113833510,"Argentinien, Republik","9,250 %",20.07.2004,Nein,Euro,20.07.2004
316310,XS0109203298,"Argentinien, Republik","8,125 %",04.10.2004,Nein,Euro,04.10.2004
141874,DE0004500558,"Argentinien, Republik","10,000 %",07.12.2004,Nein,Euro,07.12.2004
315624,XS0105694789,"Argentinien, Republik","10,000 %",07.01.2005,Nein,Euro,07.01.2005
114962,DE0001354751,"Argentinien, Republik","8,500 %",23.02.2005,Nein,Deutsche Mark,23.02.2005
293066,USP8055KFQ33,"Argentinien, Republik","9,000 %",24.05.2005,Nein,Euro,24.05.2005
125898,DE0002488509,"Argentinien, Republik","7,875 %",29.07.2005,Nein,Deutsche Mark,29.07.2005
114659,DE0001319507,"Argentinien, Republik","11,250 %",10.04.2006,Nein,Deutsche Mark,10.04.2006
132564,DE0002998952,"Argentinien, Republik","9,000 %",26.04.2006,Nein,Euro,26.04.2006
141895,DE0004509005,"Argentinien, Republik","10,250 %",26.01.2007,Nein,Euro,26.01.2007
10866409,XS0124528703,"Argentinien, Republik","10,000 %",22.02.2007,Nein,Euro,22.02.2007
144362,DE0005450258,"Argentinien, Republik","10,000 %",07.09.2007,Nein,Euro,07.09.2007
116971,DE0001974608,"Argentinien, Republik","8,000 %",26.02.2008,Nein,Euro,26.02.2008
131196,DE0002923851,"Argentinien, Republik","8,000 %",26.02.2008,Nein,Euro,26.02.2008
131802,DE0002966900,"Argentinien, Republik","8,000 %",26.02.2008,Nein,Euro,26.02.2008
10866401,XS0086333472,"Argentinien, Republik","8,125 %",21.04.2008,Nein,Euro,21.04.2008
115864,DE0001767101,"Argentinien, Republik","9,000 %",19.11.2008,Nein,Deutsche Mark,19.11.2008
128262377,DE0003045357,"Argentinien, Republik","9,000 %",26.05.2009,Nein,Euro,26.05.2009
116813,DE0001954907,"Argentinien, Republik","8,000 %",30.10.2009,Nein,Deutsche Mark,30.10.2009
125866,DE0002483203,"Argentinien, Republik","9,000 %",06.07.2010,Nein,Euro,06.07.2010
6386379,XS0089277825,"Argentinien, Republik","8,500 %",30.07.2010,Nein,Euro,30.07.2010
88596290,DE0001325017,"Argentinien, Republik","11,750 %",20.05.2011,Nein,Deutsche Mark,20.05.2011
116487047,PTPTCYOM0008,Portugal Telecom International Finance B.V.,"6,250 %",26.07.2016,Nein,Euro,26.07.2016
